"manufacturer","model","series","loadCapacity","liftingSpeed","motorPower","classification","url","scrapedFrom","confidence","id","lastUpdated","createdDate","updateCount","images","videos","scrapedAt","createdAt","quietOperation","_enrichedFields","dutyCycle","weight","dimensions","voltageOptions","certifications","protectionClass","noiseLevel","brakeType","chainSpecification","operatingTemperature","applications","safetyFeatures","_pdfEnriched","_pdfEnrichedAt","liftingOverPeople","dynamicLifting","rawSpecifications","downloadedImages","pdfs","downloadedPDFs","features","llmEnriched","llmEnrichedAt","llmProvider","description","warranty","airConsumption","operatingPressure"
"Columbus McKinnon (CM)","Lodestar 1000","Lodestar","1000 kg (2200 lbs)","4 m/min (13 ft/min)","1.5 kW (2 HP)","d8","https://www.columbusmckinnon.com","https://www.columbusmckinnon.com",0.8,"columbus-mckinnon--cm--lodestar-1000-1","2026-01-08T20:43:47.212Z","2025-07-31T21:35:07.934Z",0,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbus McKinnon (CM)","Lodestar 500","Lodestar","500 kg (1100 lbs)","8 m/min (26 ft/min)","1.1 kW (1.5 HP)","d8","https://www.columbusmckinnon.com","https://www.columbusmckinnon.com",0.8,"columbus-mckinnon--cm--lodestar-500-1","2026-01-08T20:43:47.212Z","2025-07-31T21:35:07.934Z",0,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Konecranes","CLX Chain Hoist","CLX","125-5000 kg","4-8 m/min","0.18-0.25 kW (estimated)","d8","https://www.konecranes.com","known-data",0.9,"konecranes-clx-chain-hoist","2026-01-19T10:45:10.315Z",,,"","","2026-01-19T10:45:10.314Z","2026-01-08T20:51:24.510Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Konecranes","SLX Chain Hoist","SLX","63-2000 kg","8-24 m/min","0.18-0.25 kW (estimated)","d8+","https://www.konecranes.com","known-data",0.9,"konecranes-slx-chain-hoist","2026-01-19T10:45:10.315Z",,,"","","2026-01-19T10:45:10.314Z","2026-01-08T20:51:24.510Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demag","DC-Pro","DC-Pro","125-2000 kg","4-20 m/min","0.25-15 kW","d8+","https://www.demagcranes.com","known-data",0.9,"demag-dc-pro","2026-01-15T22:41:12.569Z",,,"","","2026-01-15T22:41:12.569Z","2026-01-08T20:51:35.686Z",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demag","DC-Com","DC-Com","125-2000 kg","4-12 m/min","0.18-1.5 kW","d8","https://www.demagcranes.com","known-data",0.9,"demag-dc-com","2026-01-15T22:41:12.569Z",,,"","","2026-01-15T22:41:12.569Z","2026-01-08T20:51:35.686Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harrington Hoists","NER/NER2","NER","250-5000 kg","5-16 m/min","0.25-0.37 kW (estimated)","ansi","https://www.harringtonhoists.com","known-data",0.9,"harrington-ner-ner2","2026-01-15T22:41:25.595Z",,,"","","2026-01-17T18:12:31.351Z","2026-01-08T20:51:50.800Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harrington Hoists","SNER","SNER","500-10000 kg","1.25-8 m/min","0.37-0.75 kW (estimated)","ansi","https://www.harringtonhoists.com","known-data",0.9,"harrington-sner","2026-01-15T22:41:25.595Z",,,"","","2026-01-17T18:12:31.351Z","2026-01-08T20:51:50.800Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABUS Kransysteme","GM4","GM","125-2500 kg","4-12 m/min","0.55 kW","d8, CE, EU directives compliance, DGUV Regulation 54, FEM 9.511, FEM 9.755, DIN 15020","https://www.abuscranes.com","known-data",0.9,"abus-gm4","2026-01-15T22:41:36.762Z",,,"","","2026-01-15T22:41:36.762Z","2026-01-08T20:52:01.880Z",,"[""motorPower"",""dutyCycle"",""weight"",""dimensions"",""voltageOptions"",""certifications"",""protectionClass"",""noiseLevel"",""brakeType"",""chainSpecification"",""operatingTemperature"",""applications""]","FEM groups up to 4m","Not specified","Not specified","[""3-phase AC 380-415V 50Hz (GM2-GM8)"",""Single-phase AC 230V 50Hz (GMC)""]","[""CE"",""EU directives compliance""]","IP 55 (GM2-GM8), IP 21 (GMC), IP 65 (pendant control)","Not specified","DC disk brake with asbestos-free brake linings","High-strength, galvanized profile steel chain","Not specified","[""Industrial lifting"",""Assembly operations"",""Material handling"",""Glass and ceramics handling"",""Mobile applications""]","{""overloadProtection"":true,""upperLimitSwitch"":true,""lowerLimitSwitch"":true,""emergencyStop"":true,""slipClutch"":true}",true,"2026-01-17T18:01:09.919Z",,,,,,,,,,,,,,
"ABUS Kransysteme","GM6","GM","2000-6300 kg","1-4 m/min","1.1 kW","d8, CE, EU directives compliance, DGUV Regulation 54, FEM 9.511, FEM 9.755, DIN 15020","https://www.abuscranes.com","known-data",0.9,"abus-gm6","2026-01-15T22:41:36.762Z",,,"","","2026-01-15T22:41:36.762Z","2026-01-08T20:52:01.880Z",,"[""motorPower"",""dutyCycle"",""weight"",""dimensions"",""voltageOptions"",""certifications"",""protectionClass"",""noiseLevel"",""brakeType"",""chainSpecification"",""operatingTemperature"",""applications""]","FEM groups up to 4m","Not specified","Not specified","[""3-phase AC 380-415V 50Hz (GM2-GM8)"",""Single-phase AC 230V 50Hz (GMC)""]","[""CE"",""EU directives compliance""]","IP 55 (GM2-GM8), IP 21 (GMC), IP 65 (pendant control)","Not specified","DC disk brake with asbestos-free brake linings","High-strength, galvanized profile steel chain","Not specified","[""Industrial lifting"",""Assembly operations"",""Material handling"",""Glass and ceramics handling"",""Mobile applications""]","{""overloadProtection"":true,""upperLimitSwitch"":true,""lowerLimitSwitch"":true,""emergencyStop"":true,""slipClutch"":true}",true,"2026-01-17T18:01:09.919Z",,,,,,,,,,,,,,
"GIS AG","GP Series","GP","125-2500 kg","2-16 m/min","0.18-0.25 kW (estimated)","d8+","https://gis-ag.ch","known-data",0.9,"gis-ag-gp-series","2026-01-19T10:47:16.450Z",,,"","","2026-01-19T10:47:16.449Z","2026-01-08T20:52:16.901Z",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Verlinde","Stagemaker SR","Stagemaker","125-2000 kg","4-24 m/min","0.18-0.25 kW (estimated)","d8+, bgv-c1","https://www.verlinde.com","known-data",0.9,"verlinde-stagemaker-sr","2026-01-19T10:47:36.282Z",,,"","","2026-01-19T10:47:36.282Z","2026-01-08T20:52:27.785Z",,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
"Verlinde","Stagemaker SL","Stagemaker","63-500 kg","8-32 m/min","0.18-0.25 kW (estimated)","d8+","https://www.verlinde.com","known-data",0.9,"verlinde-stagemaker-sl","2026-01-19T10:47:36.282Z",,,"","","2026-01-19T10:47:36.282Z","2026-01-08T20:52:27.785Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chainmaster","D8+","D8+","125-2000 kg","2-24 m/min","0.18-0.25 kW (estimated)","d8+, bgv-c1","https://www.chainmaster.de","known-data",0.9,"chainmaster-d8-","2026-01-19T10:47:44.151Z",,,"","","2026-01-19T10:47:44.151Z","2026-01-08T20:52:38.104Z",true,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,
"Chainmaster","BGV-D8","BGV-D8","125-2000 kg","4-16 m/min","0.18-0.25 kW (estimated)","d8","https://www.chainmaster.de","known-data",0.9,"chainmaster-bgv-d8","2026-01-19T10:47:44.151Z",,,"","","2026-01-19T10:47:44.151Z","2026-01-08T20:52:38.104Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Movecat","Liftket Plus","Liftket","125-2000 kg","2-16 m/min","0.18-0.25 kW (estimated)","d8+","https://www.movecat.de","known-data",0.9,"movecat-liftket-plus","2026-01-16T08:16:20.495Z",,,"","","2026-01-16T08:16:20.495Z","2026-01-08T20:52:55.339Z",,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,
"Movecat","Liftket Standard","Liftket","125-1000 kg","4-16 m/min","0.18-0.25 kW (estimated)","d8","https://www.movecat.de","known-data",0.9,"movecat-liftket-standard","2026-01-16T08:16:20.495Z",,,"","","2026-01-16T08:16:20.495Z","2026-01-08T20:52:55.339Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
